fold,representation,accuracy_mean,accuracy_std,stability_mean,stability_std,num_cells
0,Point_Euclidean,0.9824561403508771,0.0,0.7706666666666667,0.4110387924379996,
0,Point_Angular,0.9736842105263158,0.0,0.9966666666666666,0.014681810363696821,
1,Point_Euclidean,0.9385964912280702,0.0,0.768,0.4205900616990373,
1,Point_Angular,0.956140350877193,0.0,0.9960000000000001,0.018184242262647803,
2,Point_Euclidean,0.9473684210526315,0.0,0.6993333333333334,0.4578350018171273,
2,Point_Angular,0.956140350877193,0.0,0.9873333333333334,0.06821208755703703,
3,Point_Euclidean,0.9824561403508771,0.0,0.6,0.4898979485566357,
3,Point_Angular,0.9385964912280702,0.0,0.9706666666666667,0.10617386160863176,
4,Point_Euclidean,0.9734513274336283,0.0,0.36666666666666664,0.48189440982669857,
4,Point_Angular,0.9823008849557522,0.0,1.0,0.0,
